Description,Qty,Total Amount,Group,Division,Branch
ICED MATCHA LATTE MEDIUM,1625.0,370870.87,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories jbeil
ICED MATCHA LATTE LARGE,443.0,117069.07,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories jbeil
DOUBLE SHOT SHAKEN SMALL,1213.0,134972.97,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories jbeil
ICED CARAMEL MACCHIATO SMALL,522.0,118678.68,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories jbeil
ICED CARAMEL MACCHIATO MEDIUM,1652.0,436564.57,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories jbeil
ICED CARAMEL MACCHIATO LARGE,253.0,74456.46,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories jbeil
ICED TOFFEE NUT LATTE SMALL,25.0,5897.9,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories jbeil
ICED TOFFEE NUT LATTE MEDIUM,70.0,18852.85,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories jbeil
ICED CLASSIC CHOC MEDIUM,632.0,167015.02,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories jbeil
ICED CLASSIC CHOC SMALL,317.0,70066.07,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories jbeil
BLUE NADE,386.0,102006.01,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories jbeil
ICED DOUBLE SHOT TOFFEE NUT SMALL,1.0,210.21,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories jbeil
ICED DOUBLE SHOT TOFFEE NUT MEDIUM,6.0,1441.44,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories jbeil
SIGNATURE ICED CHOCOLATE SMALL,69.0,14606.61,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories jbeil
SIGNATURE ICED CHOCOLATE MEDIUM,154.0,40696.7,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories jbeil
ICED TOFFEE NUT LATTE LARGE,5.0,1501.5,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories jbeil
ICED CLASSIC CHOC LARGE,106.0,31195.2,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories jbeil
SIGNATURE ICED CHOCOLATE LARGE,25.0,7357.36,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories jbeil
ICED SPANISH LATTE SMALL,550.0,140588.59,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories jbeil
ICED SPANISH LATTE MEDIUM,1710.0,492972.97,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories jbeil
ICED SALTED CARAMEL LATTE SMALL,180.0,40852.85,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories jbeil
ICED SALTED CARAMEL LATTE MEDIUM,535.0,141381.38,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories jbeil
ICED SALTED CARAMEL LATTE LARGE,99.0,29729.73,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories jbeil
COLD BREW BOTTLE,559.0,78198.2,MIXED COLD BEVERAGES,HOT BAR SECTION,Stories jbeil
COFFEE FRAPPE SMALL,154.0,27747.75,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
COFFEE FRAPPE MEDIUM,412.0,86606.61,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
CARAMEL FRAPP SMALL,2200.0,488702.7,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
CARAMEL FRAPP MEDIUM,7907.0,2098666.69,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
CARAMEL FRAPP LARGE,1768.0,530930.93,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
COFFEE FRAPP LARGE,100.0,24024.02,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
MOCHA FRAPP SMALL,544.0,112882.88,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
MOCHA FRAPP MEDIUM,1512.0,386210.21,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
MOCHA FRAPP LARGE,557.0,151501.5,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
ESPRESSO FRAPP SMALL,222.0,39459.46,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
ESPRESSO FRAPP MEDIUM,485.0,101951.95,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
ESPRESSO FRAPP LARGE,64.0,15375.38,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
VANILLA CREAM FRAPP SMALL,255.0,53393.39,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
VANILLA CREAM FRAPP MEDIUM,575.0,142462.46,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
VANILLA CREAM FRAPP LARGE,114.0,31141.14,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
WHITE MOCHA FRAPP SMALL,182.0,38048.05,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
WHITE MOCHA FRAPP MEDIUM,579.0,142462.46,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
WHITE MOCHA FRAPP LARGE,112.0,30600.6,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
WHITE MOCHA CREAM FRAPP SMALL,85.0,8408.41,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
WHITE MOCHA CREAM FRAPP MEDIUM,154.0,37597.6,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
CHOCOLATE CREAM FRAPP MEDIUM,1782.0,473801.81,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
CHOCOLATE CREAM FRAPP LARGE,644.0,175765.77,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
WHITE MOCHA CREAM FRAPP LARGE,31.0,8498.5,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
CHOCOLATE CREAM FRAP SMALL,896.0,196582.58,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
CARAMEL CREAM  FRAPP MEDIUM,1051.0,279471.47,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
CARAMEL CREAM  FRAPP LARGE,224.0,67267.27,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
CARAMEL CREAM FRAPP SMALL,515.0,105945.95,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
MATCHA CREAM  FRAPP SMALL,59.0,12402.4,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
MATCHA CREAM FRAPP MEDIUM,285.0,70030.03,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
MATCHA CREAM FRAPP LARGE,52.0,14144.14,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
STRAWBERRY CREAM FRAPP SMALL,1629.0,264300.3,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
STRAWBERRY CREAM FRAPP MEDIUM,2323.0,617327.33,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
STRAWBERRY CREAM FRAPP LARGE,1134.0,308408.41,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
VANILLA FRAP SMALL,150.0,31531.53,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
VANILLA FRAPP MEDIUM,499.0,123513.51,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
VANILLA FRAPP LARGE,78.0,21471.47,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
HAZELNUT FRAPP SMALL,61.0,12822.82,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
HAZELNUT FRAPP MEDIUM,193.0,46366.37,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
HAZELNUT FRAPP LARGE,34.0,9339.34,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
TOFFEENUT FRAP SMALL,9.0,2162.16,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
TOFFEENUT FRAP MEDIUM,39.0,10540.54,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
TOFFEENUT CREAM  FRAP SMALL,1.0,240.24,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
TOFFEENUT CREAM  FRAP MEDIUM,6.0,1621.62,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
TOFFEENUT FRAP LARGE,2.0,600.6,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
SALTED CARAMEL FRAPPE SMALL,102.0,24504.5,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
SALTED CARAMEL CREAM FRAPPE SMALL,51.0,12252.25,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
SALTED CARAMEL CREAM FRAPPE MEDIUM,114.0,30810.81,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
SALTED CARAMEL CREAM FRAPPE LARGE,20.0,6006.01,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
SALTED CARAMEL FRAPPE MEDIUM,480.0,129729.73,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
SALTED CARAMEL FRAPPE LARGE,109.0,32732.73,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
STRAWBERRY SHAKE,9.0,2972.97,BLENDED BRINKS,HOT BAR SECTION,Stories jbeil
ICED PEACH TEA  SMALL,825.0,97537.54,ICE TEA,HOT BAR SECTION,Stories jbeil
ICED PEACH TEA  MEDIUM,1476.0,354594.59,ICE TEA,HOT BAR SECTION,Stories jbeil
ICED LEMON TEA  MEDIUM,2.0,480.48,ICE TEA,HOT BAR SECTION,Stories jbeil
ICED LEMON TEA LARGE,1.0,270.27,ICE TEA,HOT BAR SECTION,Stories jbeil
ICED PEACH TEA LARGE,469.0,126756.76,ICE TEA,HOT BAR SECTION,Stories jbeil
ADD CARAMEL SMALL,1307.0,36426.43,ADD SYRUP,HOT BAR SECTION,Stories jbeil
ADD VANILLA SMALL,729.0,21171.17,ADD SYRUP,HOT BAR SECTION,Stories jbeil
ADD HAZELNUT SMALL,226.0,6486.49,ADD SYRUP,HOT BAR SECTION,Stories jbeil
ADD CARAMEL MEDIUM,2808.0,84324.33,ADD SYRUP,HOT BAR SECTION,Stories jbeil
ADD VANILLA MEDIUM,1815.0,54504.51,ADD SYRUP,HOT BAR SECTION,Stories jbeil
ADD HAZELNUT MEDIUM,473.0,14204.21,ADD SYRUP,HOT BAR SECTION,Stories jbeil
ADD SHOT,3927.5,156921.91,ADD SYRUP,HOT BAR SECTION,Stories jbeil
ADD WHIPPED CREAM,262.0,7867.87,ADD SYRUP,HOT BAR SECTION,Stories jbeil
ADD MOCHA SMALL,36.0,480.48,ADD SYRUP,HOT BAR SECTION,Stories jbeil
ADD WHITE MOCHA SMALL,1647.0,29129.13,ADD SYRUP,HOT BAR SECTION,Stories jbeil
ADD CARAMEL DRIZZLE,515.0,15465.47,ADD SYRUP,HOT BAR SECTION,Stories jbeil
ADD CHOCOLATE DRIZZLE,158.0,4744.75,ADD SYRUP,HOT BAR SECTION,Stories jbeil
ADD CARAMEL LARGE,457.0,13723.73,ADD SYRUP,HOT BAR SECTION,Stories jbeil
ADD VANILLA LARGE,480.0,14414.42,ADD SYRUP,HOT BAR SECTION,Stories jbeil
ADD HAZELNUT LARGE,65.0,1951.95,ADD SYRUP,HOT BAR SECTION,Stories jbeil
ADD CARAMEL SF MEDIUM,783.0,23513.52,ADD SYRUP,HOT BAR SECTION,Stories jbeil
ADD CARAMEL SF LARGE,126.0,3783.78,ADD SYRUP,HOT BAR SECTION,Stories jbeil
ADD VANILLA SF SMALL,411.0,12222.22,ADD SYRUP,HOT BAR SECTION,Stories jbeil
ADD VANILLA SF MEDIUM,1006.0,30210.21,ADD SYRUP,HOT BAR SECTION,Stories jbeil
ADD VANILLA SF LARGE,201.0,6036.04,ADD SYRUP,HOT BAR SECTION,Stories jbeil
ADD CARAMEL SF SMALL,353.0,10600.6,ADD SYRUP,HOT BAR SECTION,Stories jbeil
ADD YIRGACHEFFE SHOT,52.0,2342.34,ADD SYRUP,HOT BAR SECTION,Stories jbeil
REPLACE 1 SHOT YIRGACHEFFE,166.0,9969.97,ADD SYRUP,HOT BAR SECTION,Stories jbeil
REPLACE 2 SHOT YIRGACHEFFE,480.0,28828.83,ADD SYRUP,HOT BAR SECTION,Stories jbeil
REPLACE 3 SHOT YIRGACHEFFE,33.0,1981.98,ADD SYRUP,HOT BAR SECTION,Stories jbeil
NO WHIPPED CREAM,100.0,0.0,ADD SYRUP,HOT BAR SECTION,Stories jbeil
ADD WHITE MOCHA MEDIUM,871.0,26156.16,ADD SYRUP,HOT BAR SECTION,Stories jbeil
ADD WHITE MOCHA LARGE,167.0,5015.02,ADD SYRUP,HOT BAR SECTION,Stories jbeil
1 SHOT DECAFE,375.0,0.0,ADD SYRUP,HOT BAR SECTION,Stories jbeil
2 SHOT DECAFE,644.0,0.0,ADD SYRUP,HOT BAR SECTION,Stories jbeil
3 SHOT DECAFE,81.0,0.0,ADD SYRUP,HOT BAR SECTION,Stories jbeil
ADD MOCHA LARGE,10.0,300.3,ADD SYRUP,HOT BAR SECTION,Stories jbeil
ADD MOCHA MEDIUM,67.0,2012.01,ADD SYRUP,HOT BAR SECTION,Stories jbeil
STRAWBERRY DRIZZLE TOPPING,148.0,4444.44,ADD SYRUP,HOT BAR SECTION,Stories jbeil
ADD TOFFEE NUT SMALL,2.0,60.06,ADD SYRUP,HOT BAR SECTION,Stories jbeil
ADD MATCHA SMALL,1.0,45.05,ADD SYRUP,HOT BAR SECTION,Stories jbeil
ADD MATCHA MEDIUM,12.0,648.65,ADD SYRUP,HOT BAR SECTION,Stories jbeil
ADD MATCHA LARGE,2.0,120.12,ADD SYRUP,HOT BAR SECTION,Stories jbeil
ADD PROTEIN POWDER,2.0,180.18,ADD SYRUP,HOT BAR SECTION,Stories jbeil
REPLACE ALMOND SMALL,164.0,14774.78,REPLACE,HOT BAR SECTION,Stories jbeil
REPLACE ALMOND MEDIUM,341.0,40960.96,REPLACE,HOT BAR SECTION,Stories jbeil
REPLACE COCONUT SMALL,169.0,15225.23,REPLACE,HOT BAR SECTION,Stories jbeil
REPLACE COCONUT MEDIUM,424.0,40840.84,REPLACE,HOT BAR SECTION,Stories jbeil
REPLACE SKIMMED MILK SMALL,689.0,0.0,REPLACE,HOT BAR SECTION,Stories jbeil
REPLACE SKIMMED MILK MEDIUM,1415.0,0.0,REPLACE,HOT BAR SECTION,Stories jbeil
REPLACE LACTOSE FREE SMALL,622.0,0.0,REPLACE,HOT BAR SECTION,Stories jbeil
REPLACE LACTOSE FREE MEDIUM,1079.0,0.0,REPLACE,HOT BAR SECTION,Stories jbeil
REPLACE SUGAR FREE OAT MEDIUM,72.0,8648.65,REPLACE,HOT BAR SECTION,Stories jbeil
REPLACE SUGAR FREE OAT SMALL,37.0,3333.33,REPLACE,HOT BAR SECTION,Stories jbeil
REPLACE SUGAR FREE SOYA SMALL,3.0,270.27,REPLACE,HOT BAR SECTION,Stories jbeil
REPLACE SUGAR FREE SOYA MEDIUM,13.0,1561.56,REPLACE,HOT BAR SECTION,Stories jbeil
REPLACE SUGAR FREE ALMOND SMALL,10.0,900.9,REPLACE,HOT BAR SECTION,Stories jbeil
REPLACE SUGAR FREE ALMOND MEDIUM,29.0,3483.48,REPLACE,HOT BAR SECTION,Stories jbeil
REPLACE ALMOND LARGE,103.0,15465.47,REPLACE,HOT BAR SECTION,Stories jbeil
REPLACE COCONUT LARGE,149.0,15885.89,REPLACE,HOT BAR SECTION,Stories jbeil
REPLACE LACTOSE FREE LARGE,187.0,0.0,REPLACE,HOT BAR SECTION,Stories jbeil
REPLACE SKIMMED MILK LARGE,221.0,0.0,REPLACE,HOT BAR SECTION,Stories jbeil
REPLACE SUGAR FREE ALMOND LARGE,7.0,1051.05,REPLACE,HOT BAR SECTION,Stories jbeil
REPLACE SUGAR FREE OAT LARGE,17.0,2552.55,REPLACE,HOT BAR SECTION,Stories jbeil
REPLACE SUGAR FREE SOYA LARGE,2.0,300.3,REPLACE,HOT BAR SECTION,Stories jbeil
ADD FULL FAT MILK,23.0,0.0,REPLACE,HOT BAR SECTION,Stories jbeil
ADD SKIMMED MILK,72.0,0.0,REPLACE,HOT BAR SECTION,Stories jbeil
WATER,21817.0,917231.19,SOFT DRINKS,COLD BAR SECTION,Stories jbeil
ORANGE JUICE,762.0,128144.14,SOFT DRINKS,COLD BAR SECTION,Stories jbeil
LEMON JUICE,244.0,41033.03,SOFT DRINKS,COLD BAR SECTION,Stories jbeil
MAWARDI JUICE,167.0,28084.08,SOFT DRINKS,COLD BAR SECTION,Stories jbeil
APPLE JUICE,143.0,24048.05,SOFT DRINKS,COLD BAR SECTION,Stories jbeil
POMEGRANATE JUICE,247.0,41537.54,SOFT DRINKS,COLD BAR SECTION,Stories jbeil
SAN BENEDETTO CLEMENTINE 330ML/24,244.0,41033.03,SOFT DRINKS,COLD BAR SECTION,Stories jbeil
SAN BENEDETTO GLASS 250ML/24,69.0,9531.53,SOFT DRINKS,COLD BAR SECTION,Stories jbeil
SAN BENEDETTO LEMON 330ML/24,349.0,58690.69,SOFT DRINKS,COLD BAR SECTION,Stories jbeil
RIM SPARKLING WATER-250 ML,550.0,39639.64,SOFT DRINKS,COLD BAR SECTION,Stories jbeil
DOUBLE CHOCOLATE MUFFIN,1101.0,218216.22,COFFEE PASTRY,GRAB&GO BEVERAGES,Stories jbeil
ORANGE CAKE,318.0,85945.95,COFFEE PASTRY,GRAB&GO BEVERAGES,Stories jbeil
RED VELVET CAKE,836.0,251051.05,COFFEE PASTRY,GRAB&GO BEVERAGES,Stories jbeil
BROWNIES CAKE,532.0,79879.88,COFFEE PASTRY,GRAB&GO BEVERAGES,Stories jbeil
LAZY CAKE,1700.0,561561.57,COFFEE PASTRY,GRAB&GO BEVERAGES,Stories jbeil
BLUEBERRY CHEESE CAKE,553.0,215885.89,COFFEE PASTRY,GRAB&GO BEVERAGES,Stories jbeil
FRAMBOISE CHEESE CAKE,409.0,159669.67,COFFEE PASTRY,GRAB&GO BEVERAGES,Stories jbeil
LOTUS CHEESE CAKE,446.0,174114.12,COFFEE PASTRY,GRAB&GO BEVERAGES,Stories jbeil
CHOCOLATE MUFFIN,19.0,3423.42,COFFEE PASTRY,GRAB&GO BEVERAGES,Stories jbeil
CARROT CAKE,405.0,109459.46,COFFEE PASTRY,GRAB&GO BEVERAGES,Stories jbeil
BLUEBERRY MUFFIN,507.0,100486.49,COFFEE PASTRY,GRAB&GO BEVERAGES,Stories jbeil
APRICOT SABLE,195.0,46846.85,COFFEE PASTRY,GRAB&GO BEVERAGES,Stories jbeil
CHOCOLATE SABLE,387.0,92972.97,COFFEE PASTRY,GRAB&GO BEVERAGES,Stories jbeil
RED VELVET MUFFIN_,99.0,19621.62,COFFEE PASTRY,GRAB&GO BEVERAGES,Stories jbeil
CHEESE CROISSANT,1079.0,226816.82,CROISSANT,COFFEE PASTRY,Stories jbeil
THYME CROISSANT,315.0,56756.76,CROISSANT,COFFEE PASTRY,Stories jbeil
CHOCOLATE CROISSANT,762.0,160180.18,CROISSANT,COFFEE PASTRY,Stories jbeil
NY STYLE COOKIE - CHOCOLATE CHIP WALNUT,951.0,285585.59,COOKIES,CROISSANT,Stories jbeil
NY STYLE COOKIE - DOUBLE CHOCOLATE,265.0,79579.58,COOKIES,CROISSANT,Stories jbeil
FONDANT AU CHOCOLAT,725.0,261261.26,FRENCH PASTRY,COOKIES,Stories jbeil
ECLAIR ORIGINAL,397.0,107297.3,FRENCH PASTRY,COOKIES,Stories jbeil
ECLAIR CHOCOLAT,356.0,96216.22,FRENCH PASTRY,COOKIES,Stories jbeil
TARTE AU CHOCOLAT,4.0,1081.08,FRENCH PASTRY,COOKIES,Stories jbeil
CHRISTMAS ORIGINAL ECLAIR,173.0,49279.28,FRENCH PASTRY,COOKIES,Stories jbeil
ECLAIR CARAMEL,164.0,44324.32,FRENCH PASTRY,COOKIES,Stories jbeil
MACARONS,615.0,166216.22,FRENCH PASTRY,COOKIES,Stories jbeil
CHOCOLATE SALTED CAKE,445.0,146997.0,FRENCH PASTRY,COOKIES,Stories jbeil
ECLAIR COFFEE,17.0,4594.59,FRENCH PASTRY,COOKIES,Stories jbeil
CHRISTMAS PISTACHIO ECLAIR,22.0,7927.93,FRENCH PASTRY,COOKIES,Stories jbeil
GUMMY BEARS COMBO,2261.5,0.0,COMBO TOPPINGS,FRENCH PASTRY,Stories jbeil
GRANOLLA COMBO,1575.0,0.0,COMBO TOPPINGS,FRENCH PASTRY,Stories jbeil
WAFER ROLL COMBO,1020.0,0.0,COMBO TOPPINGS,FRENCH PASTRY,Stories jbeil
MARSHMALLOW COMBO,2488.0,0.0,COMBO TOPPINGS,FRENCH PASTRY,Stories jbeil
BROWNIES COMBO,2352.0,0.0,COMBO TOPPINGS,FRENCH PASTRY,Stories jbeil
LOTUS BISCUIT COMBO,1861.0,0.0,COMBO TOPPINGS,FRENCH PASTRY,Stories jbeil
CHOCOLATE CHIPS COMBO,2523.0,0.0,COMBO TOPPINGS,FRENCH PASTRY,Stories jbeil
OREO COMBO,2114.0,0.0,COMBO TOPPINGS,FRENCH PASTRY,Stories jbeil
SPRINKLES COMBO,906.0,0.0,COMBO TOPPINGS,FRENCH PASTRY,Stories jbeil
MIXED NUTS COMBO,1520.0,0.0,COMBO TOPPINGS,FRENCH PASTRY,Stories jbeil
OATS COMBO,43.0,0.0,COMBO TOPPINGS,FRENCH PASTRY,Stories jbeil
STRAWBERRY COMBO,12171.0,0.0,COMBO TOPPINGS,FRENCH PASTRY,Stories jbeil
PINEAPPLE COMBO,6339.0,0.0,COMBO TOPPINGS,FRENCH PASTRY,Stories jbeil
MANGO COMBO,10593.0,0.0,COMBO TOPPINGS,FRENCH PASTRY,Stories jbeil
HONEY COMBO,304.0,0.0,COMBO TOPPINGS,FRENCH PASTRY,Stories jbeil
BLUEBERRIES COMBO,10428.5,0.0,COMBO TOPPINGS,FRENCH PASTRY,Stories jbeil
GRANOLLA,79.0,4744.74,TOPPINGS,FRENCH PASTRY,Stories jbeil
WAFER ROLL,8.0,480.48,TOPPINGS,FRENCH PASTRY,Stories jbeil
MARSHMALLOW,153.0,9189.19,TOPPINGS,FRENCH PASTRY,Stories jbeil
BROWNIES,13.0,780.78,TOPPINGS,FRENCH PASTRY,Stories jbeil
LOTUS BISCUITS,167.0,10030.03,TOPPINGS,FRENCH PASTRY,Stories jbeil
OREO,279.0,16756.76,TOPPINGS,FRENCH PASTRY,Stories jbeil
SPRINKLES,24.0,1441.44,TOPPINGS,FRENCH PASTRY,Stories jbeil
CHOCOLATE CHIPS,298.0,21477.48,TOPPINGS,FRENCH PASTRY,Stories jbeil
MIXED NUTS,20.0,1201.2,TOPPINGS,FRENCH PASTRY,Stories jbeil
GUMMY BEARS,24.0,1441.44,TOPPINGS,FRENCH PASTRY,Stories jbeil
STRAWBERRY,262.0,18882.88,TOPPINGS,FRENCH PASTRY,Stories jbeil
PINEAPPLE,123.0,7519.52,TOPPINGS,FRENCH PASTRY,Stories jbeil
MANGO,117.0,8432.43,TOPPINGS,FRENCH PASTRY,Stories jbeil
HONEY,68.0,4900.9,TOPPINGS,FRENCH PASTRY,Stories jbeil
BLUEBERRIES,281.0,20252.25,TOPPINGS,FRENCH PASTRY,Stories jbeil
PISTACHIO CRUNCH,600.0,61261.26,LUXURY TOPPINGS,FRENCH PASTRY,Stories jbeil
CHOCOLATE QUELLA CRUNCH,509.0,51969.97,LUXURY TOPPINGS,FRENCH PASTRY,Stories jbeil
CHOCOLATE CRUNCH,579.0,59117.12,LUXURY TOPPINGS,FRENCH PASTRY,Stories jbeil
CHOCOLATE QUELLA,368.0,37573.57,LUXURY TOPPINGS,FRENCH PASTRY,Stories jbeil
QUELLA PISTACCIO,41.0,4186.19,LUXURY TOPPINGS,FRENCH PASTRY,Stories jbeil
CRUMBOLE PISTACHIO,12.0,1225.23,LUXURY TOPPINGS,FRENCH PASTRY,Stories jbeil
ORIGINAL YOGHURT SMALL,49.0,14114.11,FROZEN YOGHURT,FRENCH PASTRY,Stories jbeil
ORIGINAL YOGHURT MEDIUM,20.5,6771.77,FROZEN YOGHURT,FRENCH PASTRY,Stories jbeil
ORIGINAL YOGHURT X-LARGE,0.5,225.23,FROZEN YOGHURT,FRENCH PASTRY,Stories jbeil
ORIGINAL YOGHURT COMBO SMALL,2405.75,821304.8,FROZEN YOGHURT,FRENCH PASTRY,Stories jbeil
ORIGINAL YOGHURT COMBO MEDIUM,967.0,377507.51,FROZEN YOGHURT,FRENCH PASTRY,Stories jbeil
ORIGINAL YOGHURT COMBO X-LARGE,96.0,49009.01,FROZEN YOGHURT,FRENCH PASTRY,Stories jbeil
CHOCOLATE YOGHURT SMALL,4.0,1201.2,FROZEN YOGHURT,FRENCH PASTRY,Stories jbeil
CHOCOLATE YOGHURT X-LARGE,0.5,225.23,FROZEN YOGHURT,FRENCH PASTRY,Stories jbeil
CHOCOLATE YOGHURT COMBO SMALL,79.0,24627.63,FROZEN YOGHURT,FRENCH PASTRY,Stories jbeil
CHOCOLATE YOGHURT COMBO MEDIUM,38.0,14834.83,FROZEN YOGHURT,FRENCH PASTRY,Stories jbeil
CHOCOLATE YOGHURT COMBO X-LARGE,4.5,2297.3,FROZEN YOGHURT,FRENCH PASTRY,Stories jbeil
OREO CREAM YOGHURT SMALL,0.0,0.0,FROZEN YOGHURT,FRENCH PASTRY,Stories jbeil
OREO CREAM YOGHURT COMBO MEDIUM,1.0,390.39,FROZEN YOGHURT,FRENCH PASTRY,Stories jbeil
MANGO YOGHURT SMALL,66.0,19819.82,FROZEN YOGHURT,FRENCH PASTRY,Stories jbeil
MANGO YOGHURT COMBO SMALL,4302.75,1486427.93,FROZEN YOGHURT,FRENCH PASTRY,Stories jbeil
MANGO YOGHURT MEDIUM,24.0,7927.93,FROZEN YOGHURT,FRENCH PASTRY,Stories jbeil
MANGO YOGHURT COMBO MEDIUM,2262.5,883258.26,FROZEN YOGHURT,FRENCH PASTRY,Stories jbeil
MANGO YOGHURT X-LARGE,4.0,1801.8,FROZEN YOGHURT,FRENCH PASTRY,Stories jbeil
MANGO YOGHURT COMBO X-LARGE,169.5,86531.53,FROZEN YOGHURT,FRENCH PASTRY,Stories jbeil
PISTACHIO YOGHURT COMBO SMALL,2.0,900.9,FROZEN YOGHURT,FRENCH PASTRY,Stories jbeil
LOTUS YOGHURT SMALL,5.0,1501.5,FROZEN YOGHURT,FRENCH PASTRY,Stories jbeil
LOTUS YOGHURT MEDIUM,1.0,330.33,FROZEN YOGHURT,FRENCH PASTRY,Stories jbeil
LOTUS YOGHURT COMBO SMALL,221.5,71048.05,FROZEN YOGHURT,FRENCH PASTRY,Stories jbeil
LOTUS YOGHURT COMBO MEDIUM,107.6,42006.01,FROZEN YOGHURT,FRENCH PASTRY,Stories jbeil
LOTUS YOGHURT COMBO X-LARGE,10.5,5360.36,FROZEN YOGHURT,FRENCH PASTRY,Stories jbeil
POMEGRANATE YOGHURT SMALL,22.5,6456.46,FROZEN YOGHURT,FRENCH PASTRY,Stories jbeil
POMEGRANATE YOGHURT COMBO SMALL,786.2,271683.48,FROZEN YOGHURT,FRENCH PASTRY,Stories jbeil
POMEGRANATE YOGHURT COMBO MEDIUM,325.5,127072.07,FROZEN YOGHURT,FRENCH PASTRY,Stories jbeil
POMEGRANATE YOGHURT MEDIUM,2.5,825.83,FROZEN YOGHURT,FRENCH PASTRY,Stories jbeil
POMEGRANATE YOGHURT X-LARGE,1.0,450.45,FROZEN YOGHURT,FRENCH PASTRY,Stories jbeil
POMEGRANATE YOGHURT COMBO X-LARGE,35.0,17867.87,FROZEN YOGHURT,FRENCH PASTRY,Stories jbeil
TASTING CUP MANGO,198.0,0.0,FROZEN YOGHURT,FRENCH PASTRY,Stories jbeil
TASTING CUP CHOCOLATE,10.0,0.0,FROZEN YOGHURT,FRENCH PASTRY,Stories jbeil
